集合来源,测试用例ID,业务域,功能模块,子功能/闭环,优先级,难度,自动化类型,测试步骤/描述,预期结果,前置条件/备注,覆盖代码/接口,现有覆盖状态
现有用例-可自动化,CX-WV-BASE-011,一、基础登录与 WebView 容器,登出,登出后返回,P0,Med,是,登出后执行系统返回,不应回到已登录页面,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-WV-BASE-012,一、基础登录与 WebView 容器,WebView,页面刷新/重进,P1,Med,是,登录后关闭重启 App,未清数据情况下仍保持登录态,不要清 App 数据,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-WV-BASE-013,一、基础登录与 WebView 容器,登录,验证码超时（5分钟TTL）,P1,Med,是/需测试钩子,获取验证码 → 等待5分钟或通过测试钩子删除 Redis `sms:code:<phone>` → 输入原验证码登录,提示“验证码错误或已过期”，仍停留登录页且无 token 写入,后端 CODE_TTL=300s；fast 不建议真实等待,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-WV-BASE-014,一、基础登录与 WebView 容器,登录,验证码一次性使用,P1,Med,是,获取验证码并登录成功 → 退出登录 → 复用同一验证码再次登录,第二次提示验证码错误或已过期；不能再次进入登录态,`verifyCode` 成功后会删除短信 key,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-WV-BASE-015,一、基础登录与 WebView 容器,登录,验证码发送限流与倒计时,P1,Med,是/接口辅助,验证码发送成功后立刻再次触发发送（前端或接口层）,前端按钮显示60s倒计时且不可点；绕过前端时后端1秒1次限流生效,避免污染真实短信频控,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-WV-BASE-016,一、基础登录与 WebView 容器,登录态,冷静期账号登录跳转,P1,Med,是/预置账号,使用已进入 pending_deletion 的账号登录,登录后自动进入 /deletion-pending，不能直接进入 /chat,登录成功后前端会请求 /account/status,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-WV-BASE-017,一、基础登录与 WebView 容器,登录态,token失效自动退出,P0,Med,是,手动写入过期/错误 `cx-token` → 打开 /chat 并触发任一需登录接口,收到401后清除 token/consents/needsProfile，本地状态清零并跳回 /login,覆盖 WebView 持久化 token 异常,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-WV-BASE-018,一、基础登录与 WebView 容器,登录态,切账号缓存隔离,P0,Med,是,A账号产生会话/健康档案 → 登出 → B账号登录并打开侧边栏/健康档案,不出现 A 账号会话、消息、档案或授权缓存,auth slice 会重置 chat/medical store；GET 带 no-cache,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-WV-BASE-019,一、基础登录与 WebView 容器,登录,验证码输入过滤,P1,Easy,是,在验证码输入框粘贴字母、中文、符号和超过6位数字,仅保留数字且最多6位；不因非法字符导致崩溃,"前端 `replace(/\D/g, """")`",,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-WV-BASE-020,一、基础登录与 WebView 容器,WebView,深链未登录重定向,P0,Easy,是,清登录态后直接打开 /chat/:sessionId、/medical-records、/materials 等登录页外路由,统一重定向 /login；不会白屏或停留空壳页面,AuthGuard + BrowserRouter/Nginx fallback,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-PROFILE-001,二、首次个人信息完善 /profile,个人信息,首次登录跳转,P0,Easy,是,使用未完善资料账号登录,自动进入 /profile 页面,账号需 needsProfile=true,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-PROFILE-002,二、首次个人信息完善 /profile,个人信息,页面元素展示,P0,Easy,是,进入 /profile,展示昵称、出生日期、当前关注情况、性别、保存按钮,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-PROFILE-003,二、首次个人信息完善 /profile,个人信息,必填为空校验,P0,Easy,是,不填写任何字段 → 点击保存并进入对话,提示请完整填写昵称、出生日期、当前关注情况、性别,首次资料账号,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-PROFILE-004,二、首次个人信息完善 /profile,个人信息,昵称填写,P0,Easy,是,输入昵称,输入框正常显示输入内容,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-PROFILE-005,二、首次个人信息完善 /profile,个人信息,出生日期选择,P0,Med,是,点击出生日期 → 弹出日期选择器 → 点击确定,日期选择器正常打开并回填日期,DateWheelPicker,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-PROFILE-006,二、首次个人信息完善 /profile,个人信息,当前关注情况选择,P0,Easy,是,打开当前关注情况 → 选择一个选项,选项被选中并显示在页面上,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-PROFILE-007,二、首次个人信息完善 /profile,个人信息,性别选择,P0,Easy,是,点击女性或男性按钮,按钮选中态正确,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-PROFILE-008,二、首次个人信息完善 /profile,个人信息,完整保存,P0,Easy,是,填写全部必填项 → 点击保存并进入对话,保存成功，跳转 /chat,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-PROFILE-009,二、首次个人信息完善 /profile,个人信息,非首次可跳过,P1,Easy,是,使用非强制完善状态进入 /profile,显示“跳过，直接进入对话”,非 needsProfile 账号,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-PROFILE-010,二、首次个人信息完善 /profile,个人信息,跳过进入对话,P1,Easy,是,点击跳过,正常进入 /chat,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-PROFILE-011,二、首次个人信息完善 /profile,个人信息,编辑模式返回,P1,Easy,是,从侧边栏进入个人信息编辑页 → 点击返回/取消,返回对话页或侧边栏状态正确,/profile?mode=edit,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-PROFILE-012,二、首次个人信息完善 /profile,个人信息,编辑保存,P1,Easy,是,修改昵称或关注情况 → 保存,保存成功，回到对话页,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-PROFILE-013,二、首次个人信息完善 /profile,个人信息,首次强制资料不可跳过,P0,Easy,是,新账号首次登录进入 /profile,页面不展示“跳过，直接进入对话”；必须完整填写后才能进入 /chat,`requireCompleteProfile && !isEditMode`,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-PROFILE-014,二、首次个人信息完善 /profile,个人信息,首次部分保存拦截,P0,Easy,是,首次资料账号仅填写当前关注情况或仅填写昵称后点击保存,提示缺失字段；不应进入 /chat,前端和后端均需校验完整资料,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-PROFILE-015,二、首次个人信息完善 /profile,个人信息,带 returnSessionId 返回,P1,Med,是,从某会话侧边栏进入个人信息 → 修改保存/取消,返回原 `/chat/:sessionId`，并按 `returnToSettings=1` 重新打开侧边栏,覆盖外部资料页变更事件路径,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-PROFILE-016,二、首次个人信息完善 /profile,个人信息,关注情况改变联动健康档案字段,P1,Med,是,编辑 currentConcern 从“乳腺肿瘤相关诊疗”切到“结节随访” → 进入健康档案,肿瘤分型/确诊时长/治疗阶段等扩展字段隐藏；基础字段仍显示,`resolveVisibleMedicalFields`,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-CHAT-001,三、对话页基础功能 /chat,对话,对话页加载,P0,Easy,是,登录后进入 /chat,展示橙欣健康标题、欢迎语、输入框,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-CHAT-002,三、对话页基础功能 /chat,对话,欢迎建议问题展示,P0,Easy,是,新对话页观察建议问题,展示建议问题按钮，如“化疗后恶心该怎么办”,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-CHAT-003,三、对话页基础功能 /chat,对话,点击建议问题发送,P0,Med,是,点击一个建议问题,用户消息出现在对话中，开始生成回复,依赖对话接口,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-CHAT-004,三、对话页基础功能 /chat,对话,文字输入发送,P0,Med,是,输入短问题 → 点击发送,用户消息出现，AI 回复区域开始输出,不判断答案质量,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-CHAT-005,三、对话页基础功能 /chat,对话,Enter 发送,P1,Easy,是,输入文字 → 按 Enter,消息被发送,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-CHAT-006,三、对话页基础功能 /chat,对话,Shift+Enter 换行,P1,Easy,是,输入文字 → Shift+Enter,输入框换行，不发送,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-CHAT-007,三、对话页基础功能 /chat,对话,空消息不可发送,P0,Easy,是,输入框为空时观察按钮,不展示发送按钮或点击无效,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-CHAT-008,三、对话页基础功能 /chat,对话,停止生成,P0,Med,是,发送问题 → 流式生成中点击停止,生成停止，页面显示已中断或停止态,需在流式过程中点击,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-CHAT-009,三、对话页基础功能 /chat,对话,停止后重试,P1,Med,是,停止生成后点击重试,重新发起回答,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-CHAT-010,三、对话页基础功能 /chat,对话,新对话,P0,Easy,是,点击右上角新对话按钮,清空当前消息，回到新对话欢迎态,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-CHAT-011,三、对话页基础功能 /chat,对话,消息复制,P1,Easy,是,回答生成后点击复制按钮,显示已复制或复制成功状态,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-CHAT-012,三、对话页基础功能 /chat,对话,点赞,P1,Easy,是,回答生成后点击有帮助,点赞按钮进入选中态,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-CHAT-013,三、对话页基础功能 /chat,对话,点踩,P1,Easy,是,回答生成后点击没帮助,点踩按钮进入选中态,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-CHAT-014,三、对话页基础功能 /chat,对话,分享至此,P1,Med,是,回答生成后点击分享按钮,复制分享链接或显示链接已复制,需要 sessionId,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-CHAT-015,三、对话页基础功能 /chat,对话,内容免责声明,P1,Easy,是,查看 AI 回答底部,显示“内容由AI生成仅供参考...”,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-CHAT-016,三、对话页基础功能 /chat,对话,长文本限制,P1,Easy,是,输入超过最大长度文本,显示字数警告，发送按钮不可用,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-CHAT-017,三、对话页基础功能 /chat,对话,历史会话恢复,P1,Med,是,发送一轮对话 → 进入历史 → 打开该会话,历史消息正常加载,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-CHAT-018,三、对话页基础功能 /chat,对话,删除历史会话,P1,Med,是,侧边栏删除某会话,会话从列表移除,会破坏测试数据,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-CHAT-019,三、对话页基础功能 /chat,对话,对话不存在,P2,Med,是,打开不存在的 /chat/:sessionId,显示“对话不存在或无权访问”,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-CHAT-020,三、对话页基础功能 /chat,对话,新对话切换不串流,P1,Med,是,会话A流式生成中点击新对话 → 在新对话发送消息B,A/B 消息和流式状态不串；回到A可看到A最终/中断结果,多会话 stream bucket/rekey 逻辑,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-CHAT-023,三、对话页基础功能 /chat,对话,同步传输模式发送,P1,Med,是/预置Redis,预置 sync fallback 标记后发送问题,不展示逐字流式，但请求完成后出现用户消息和完整 AI 回复,覆盖 WebView 不支持稳定流式时的兜底,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-CHAT-024,三、对话页基础功能 /chat,对话,仅图片消息发送,P1,Med,是,只选择图片不输入文字 → 点击发送,允许发送；用户气泡展示图片，AI 显示理解图片/生成状态,后端允许 content 空但 images 非空,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-CHAT-025,三、对话页基础功能 /chat,对话,加载更早历史消息,P1,Med,是,进入超过30条消息的历史会话 → 上滑到顶部,加载更早消息且当前阅读位置不跳动,IntersectionObserver + scrollHeight 补偿,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-CHAT-026,三、对话页基础功能 /chat,对话,删除当前会话后回新对话,P1,Med,是,侧边栏删除当前打开的会话并确认,会话从列表移除，主界面回到新对话欢迎态,会破坏测试数据，建议专用会话,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-CHAT-029,三、对话页基础功能 /chat,对话,中断后编辑重试,P1,Med,是,发送问题 → 停止生成 → 编辑上一条用户消息并重试,旧 interrupted 回复被移除/替换，新问题重新生成,MessageBubble 编辑重试路径,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-INPUT-001,四、输入框、图片、语音,输入框,默认状态,P0,Easy,是,进入对话页观察输入区,显示输入框、加号、语音按钮,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-INPUT-002,四、输入框、图片、语音,输入框,输入后按钮变化,P0,Easy,是,输入文字,语音按钮切换为发送按钮,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-INPUT-003,四、输入框、图片、语音,输入框,发送后清空,P0,Easy,是,输入文字并发送,输入框清空,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-INPUT-004,四、输入框、图片、语音,输入框,图片选择入口,P0,Easy,是,点击加号按钮,触发 file input,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-INPUT-005,四、输入框、图片、语音,输入框,上传图片预览,P0,Med,是,选择 JPG/PNG 图片,图片预览显示在输入框上方,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-INPUT-006,四、输入框、图片、语音,输入框,删除图片预览,P0,Easy,是,上传图片后点击删除,图片预览被移除,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-INPUT-007,四、输入框、图片、语音,输入框,图片消息发送,P1,Med,是,上传图片 → 点击发送,用户消息中显示图片,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-INPUT-008,四、输入框、图片、语音,输入框,不支持格式,P0,Easy,是,选择 txt 或不支持图片格式,提示不支持的图片格式,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-INPUT-009,四、输入框、图片、语音,输入框,单图大小限制,P1,Med,是,上传超过 10MB 图片,提示单张图片不能超过 10MB,需准备大文件,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-INPUT-010,四、输入框、图片、语音,输入框,图片数量限制,P1,Med,是,连续选择超过 5 张图片,最多保留 5 张或提示限制,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-INPUT-011,四、输入框、图片、语音,输入框,语音按钮存在,P1,Easy,是,进入对话页观察语音按钮,语音入口显示,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-INPUT-012,四、输入框、图片、语音,输入框,WebView 不支持录音提示,P1,Med,是,在不支持录音环境点击语音,提示浏览器不支持录音功能,依赖设备能力,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-INPUT-014,四、输入框、图片、语音,输入框,流式中按钮状态,P0,Med,是,AI 生成中观察输入区,显示停止生成按钮，语音按钮禁用,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-INPUT-016,四、输入框、图片、语音,输入框,粘贴图片上传,P1,Med,是/桌面WebView,在输入框粘贴剪贴板图片,图片进入预览列表；可删除或发送,移动端剪贴板能力依赖容器,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-NAV-001,五、侧边栏与导航,侧边栏,打开侧边栏,P0,Easy,是,在 /chat 点击左上角菜单,侧边栏打开，显示橙欣健康,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-NAV-002,五、侧边栏与导航,侧边栏,关闭侧边栏,P0,Easy,是,点击关闭或遮罩,侧边栏关闭,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-NAV-003,五、侧边栏与导航,侧边栏,进入个人信息,P0,Easy,是,打开侧边栏 → 点击个人信息,进入 /profile?mode=edit,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-NAV-004,五、侧边栏与导航,侧边栏,进入健康档案,P0,Easy,是,打开侧边栏 → 点击健康档案,进入 /medical-records,可能有授权弹窗,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-NAV-005,五、侧边栏与导航,侧边栏,进入我的材料,P1,Easy,是,打开侧边栏 → 点击我的材料,进入 /materials,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-NAV-006,五、侧边栏与导航,侧边栏,新对话,P0,Easy,是,侧边栏点击新对话,回到新对话页,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-NAV-007,五、侧边栏与导航,侧边栏,历史列表展示,P1,Med,是,已有历史时打开侧边栏,显示历史会话列表,需有历史数据,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-NAV-008,五、侧边栏与导航,侧边栏,历史会话加载更多,P2,Med,是,历史较多时滚动到底,加载更多历史会话,需预置多条历史,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-NAV-009,五、侧边栏与导航,侧边栏,退出登录,P0,Easy,是,点击退出登录,回到登录页,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-NAV-010,五、侧边栏与导航,侧边栏,进入阅读设置,P0,Easy,是,打开侧边栏 → 点击阅读设置,进入 /reading-settings 页面，展示字体大小三档,当前代码已有入口,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-NAV-011,五、侧边栏与导航,侧边栏,资料页返回侧栏中间态,P1,Med,是,从侧边栏进入个人信息/健康档案/阅读设置/材料 → 点击返回,回到原 chat 路径，侧边栏按 `openSidebar` 状态重新打开,覆盖 returnToSettings 路由参数,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-NAV-012,五、侧边栏与导航,侧边栏,素材上传台入口可见性,P2,Easy,是,分别在 localhost/dev/内网与正式域名打开侧边栏,仅 dev/localhost/内网显示“素材上传台”，正式域名不显示,`shouldShowMaterialsAdminEntry`,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-NAV-013,五、侧边栏与导航,侧边栏,删除会话二次确认,P1,Easy,是,点击某历史会话删除按钮,弹出确认框；取消不删除，确认才从列表移除,避免误删,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-CONSENT-001,六、健康档案授权,健康授权,首次进入弹窗,P0,Easy,是,未授权账号点击健康档案,弹出“健康档案授权”,未授权账号,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-CONSENT-002,六、健康档案授权,健康授权,同意授权,P0,Easy,是,点击同意,弹窗关闭，进入健康档案页,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-CONSENT-003,六、健康档案授权,健康授权,不同意授权,P1,Easy,是,点击不同意,返回聊天页或停留原页面，不进入健康档案,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-CONSENT-004,六、健康档案授权,健康授权,已授权不再弹,P1,Easy,是,已授权账号再次进入健康档案,不再弹授权弹窗,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-CONSENT-006,六、健康档案授权,健康授权,本地授权丢失远端同步,P1,Med,是,已授权账号清 localStorage 的 `cx-consents` 后进入健康档案,前端调用 `/auth/consents` 后识别远端授权，不重复弹窗,useHealthProfileConsent 远端兜底,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-CONSENT-007,六、健康档案授权,健康授权,拒绝授权不写健康数据,P1,Med,是/接口辅助,未授权账号进入健康档案弹窗 → 点击不同意 → 再查档案/文档,返回聊天页；不创建 medical_records/medical_documents,用于验证拒绝无副作用,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-MED-001,七、健康档案页 /medical-records,健康档案,页面加载,P0,Easy,是,从侧边栏进入健康档案,展示健康档案标题、病历档案、病历文档,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-MED-002,七、健康档案页 /medical-records,健康档案,返回对话,P0,Easy,是,点击返回,返回 /chat,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-MED-003,七、健康档案页 /medical-records,病历档案,卡片展示,P0,Easy,是,进入健康档案页,展示病历档案卡片,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-MED-004,七、健康档案页 /medical-records,病历档案,编辑入口,P0,Easy,是,点击病历档案“编辑”,展开编辑表单,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-MED-005,七、健康档案页 /medical-records,病历档案,取消编辑,P0,Easy,是,进入编辑 → 点击取消,表单收起，回到只读/折叠状态,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-MED-006,七、健康档案页 /medical-records,病历档案,月经状态选择,P1,Easy,是,编辑 → 打开月经状态 → 选择选项,选项回填成功,女性账号,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-MED-007,七、健康档案页 /medical-records,病历档案,肿瘤分型选择,P1,Easy,是,编辑 → 打开肿瘤分型 → 选择 HER2阳性,选项回填成功,关注情况需展示该字段,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-MED-008,七、健康档案页 /medical-records,病历档案,确诊时长选择,P1,Easy,是,编辑 → 选择确诊时长,选项回填成功,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-MED-009,七、健康档案页 /medical-records,病历档案,治疗阶段选择,P1,Easy,是,编辑 → 选择治疗阶段,选项回填成功,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-MED-010,七、健康档案页 /medical-records,病历档案,用药情况选择,P0,Med,是,编辑 → 打开用药情况 → 选择一个药品 → 完成,已选药品显示在触发器中,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-MED-011,七、健康档案页 /medical-records,病历档案,自定义用药,P0,Med,是,打开用药情况 → 输入自定义药名 → 添加 → 完成,自定义药名显示,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-MED-012,七、健康档案页 /medical-records,病历档案,自定义用药 Emoji,P1,Med,是,输入包含 Emoji/特殊字符的药名,保存后展示不乱码,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-MED-013,七、健康档案页 /medical-records,病历档案,自定义药名超长,P1,Easy,是,输入超过长度限制的药名,提示单个药品名称最多 30 个字,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-MED-014,七、健康档案页 /medical-records,病历档案,暂未用药,P1,Easy,是,用药情况选择“暂未用药”,其他药品选择被清空,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-MED-015,七、健康档案页 /medical-records,病历档案,不确定,P1,Easy,是,用药情况选择“不确定”,其他药品选择被清空,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-MED-016,七、健康档案页 /medical-records,病历档案,用药时长选择,P1,Easy,是,编辑 → 选择用药时长,选项回填成功,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-MED-017,七、健康档案页 /medical-records,病历档案,保存修改,P0,Easy,是,修改任一结构化字段 → 保存,保存成功，退出编辑态，新数据可见,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
现有用例-可自动化,CX-MED-018,七、健康档案页 /medical-records,病历档案,多字段保存,P1,Med,是,修改多个字段 → 保存,所有字段均保存成功,,,沿用现有 testcases 定义；适合作为基础/原子自动化回归
