大类,实现大类,执行/处理类型,测试用例ID,功能模块,子功能,优先级,难度,实现状态,原始自动化建议,推荐运行命令,脚本文件,查看建议,实现标题,Tags,后续建议,测试步骤/描述,预期结果,前置条件/备注
七、健康档案页 /medical-records,❌ 未实现,需接口辅助,CX-MED-027,清空后档案,旧文档详情不可再访问,P1,Med,未实现-需接口辅助,是/接口辅助,,,需增加接口辅助或测试环境开关，再补 UI 自动化验证。,,,需增加接口辅助或测试环境开关，再补 UI 自动化验证。,记录清空前文档详情页/接口ID → 清空后再次打开旧文档,页面无法展示旧文档，接口返回文档不存在或列表无该项,验证删除彻底性
七、健康档案页 /medical-records,❌ 未实现,建议接口自动化,CX-MED-028,病历档案,非法字段后端拒绝,P2,Med,未实现-建议接口自动化,接口自动化,,,优先补 API/契约层自动化；UI 只保留入口或错误提示抽样。,,,优先补 API/契约层自动化；UI 只保留入口或错误提示抽样。,男性账号或非肿瘤关注账号通过接口提交 menstrualStatus/tumorType 等不可见字段,后端返回“当前关注情况不允许更新字段”或非法字段错误,前端隐藏不等于后端信任
七、健康档案页 /medical-records,❌ 未实现,半自动/建议手动专项,CX-MED-032,病历档案,保存接口限流,P2,Med,未实现-半自动/建议手动专项,半自动,,,建议保留为半自动/手动专项；若要自动化，需增加网络异常、限流、降级或系统能力 Mock/测试钩子。,,,建议保留为半自动/手动专项；若要自动化，需增加网络异常、限流、降级或系统能力 Mock/测试钩子。,1秒内连续点击保存或直接接口连续 POST /medical,第二次被限流或按钮 loading 防重复；不会写出重复异常状态,后端 rl:medical 1秒1次
七、健康档案页 /medical-records,❌ 未实现,建议接口自动化,CX-MED-034,病历档案,未授权直接保存403,P2,Med,未实现-建议接口自动化,接口自动化,,,优先补 API/契约层自动化；UI 只保留入口或错误提示抽样。,,,优先补 API/契约层自动化；UI 只保留入口或错误提示抽样。,未 health_profile 授权账号绕过UI直接 POST /medical,后端返回403“需要先完成健康档案授权”,验证服务端授权边界
八、病历文档上传 / OCR,📂 大类,,八、病历文档上传 / OCR,,,,,,,,,,,,,,,
八、病历文档上传 / OCR,❌ 未实现,慢速/nightly专项,CX-OCR-010,OCR识别,正常病历识别,P1,Hard,未实现-慢速/nightly专项,是，慢,,,可补 nightly 慢速自动化，不建议进入 P0 fast。,,,可补 nightly 慢速自动化，不建议进入 P0 fast。,上传有效病历图片 → 开始识别,显示识别中，最终识别完成,依赖 OCR/AI 后端
八、病历文档上传 / OCR,❌ 未实现,慢速/nightly专项,CX-OCR-011,OCR识别,识别后生成文档,P1,Hard,未实现-慢速/nightly专项,是，慢,,,可补 nightly 慢速自动化，不建议进入 P0 fast。,,,可补 nightly 慢速自动化，不建议进入 P0 fast。,OCR 成功后确认,返回列表，新增病历文档,
八、病历文档上传 / OCR,❌ 未实现,慢速/nightly专项,CX-OCR-012,OCR识别,非健康图片,P2,Hard,未实现-慢速/nightly专项,是，慢,,,可补 nightly 慢速自动化，不建议进入 P0 fast。,,,可补 nightly 慢速自动化，不建议进入 P0 fast。,上传非健康相关图片 → 开始识别,失败或提示无法识别健康信息,不建议放 fast
八、病历文档上传 / OCR,❌ 未实现,半自动/建议手动专项,CX-OCR-013,OCR识别,网络异常重试,P2,Hard,未实现-半自动/建议手动专项,半自动,,,建议保留为半自动/手动专项；若要自动化，需增加网络异常、限流、降级或系统能力 Mock/测试钩子。,,,建议保留为半自动/手动专项；若要自动化，需增加网络异常、限流、降级或系统能力 Mock/测试钩子。,模拟 OCR 接口失败,显示解析失败，可重试,需 mock/断网
八、病历文档上传 / OCR,❌ 未实现,需专用账号/破坏性专项,CX-OCR-016,病历文档,删除文档,P1,Med,未实现-需专用账号/破坏性专项,是，测试账号,,,可补专项自动化，但必须使用专用账号并隔离破坏性数据。,,,可补专项自动化，但必须使用专用账号并隔离破坏性数据。,详情页点击删除,确认后文档从列表消失,会破坏数据
八、病历文档上传 / OCR,❌ 未实现,半自动/建议手动专项,CX-OCR-017,病历上传,多图总请求体超过10MB,P1,Med,未实现-半自动/建议手动专项,半自动,,,建议保留为半自动/手动专项；若要自动化，需增加网络异常、限流、降级或系统能力 Mock/测试钩子。,,,建议保留为半自动/手动专项；若要自动化，需增加网络异常、限流、降级或系统能力 Mock/测试钩子。,上传多张图片使压缩后 JSON body 超过10MB → 开始识别,前端展示请求体过大/解析失败提示，可回到 idle 重试,后端 bodyLimit=10MB
八、病历文档上传 / OCR,❌ 未实现,半自动/建议手动专项,CX-OCR-018,OCR识别,OCR接口限流,P2,Med,未实现-半自动/建议手动专项,半自动,,,建议保留为半自动/手动专项；若要自动化，需增加网络异常、限流、降级或系统能力 Mock/测试钩子。,,,建议保留为半自动/手动专项；若要自动化，需增加网络异常、限流、降级或系统能力 Mock/测试钩子。,10秒内连续点击开始识别或直接调用 `/medical/ocr` 两次,第二次被限流或显示失败提示，不产生重复文档,后端 rl:ocr 10秒1次
八、病历文档上传 / OCR,❌ 未实现,半自动/建议手动专项,CX-OCR-019,OCR识别,失败后重试保留预览,P1,Med,未实现-半自动/建议手动专项,半自动,,,建议保留为半自动/手动专项；若要自动化，需增加网络异常、限流、降级或系统能力 Mock/测试钩子。,,,建议保留为半自动/手动专项；若要自动化，需增加网络异常、限流、降级或系统能力 Mock/测试钩子。,上传图片 → 模拟 OCR 500 → 点击重试,回到可提交状态且原图片预览仍保留，可再次开始识别,MedicalOcr status error→idle
八、病历文档上传 / OCR,❌ 未实现,慢速/nightly专项,CX-OCR-020,OCR识别,成功后自动填充档案字段,P1,Hard,未实现-慢速/nightly专项,是，慢,,,可补 nightly 慢速自动化，不建议进入 P0 fast。,,,可补 nightly 慢速自动化，不建议进入 P0 fast。,上传可识别病历 → OCR 成功 → 返回健康档案,可识别字段回填到病历档案卡，用户核对后可保存/继续编辑,onFieldsExtracted 更新 medicalProfileData
八、病历文档上传 / OCR,❌ 未实现,半自动/建议手动专项,CX-OCR-021,OCR识别,提取性别后字段联动,P2,Hard,未实现-半自动/建议手动专项,半自动,,,建议保留为半自动/手动专项；若要自动化，需增加网络异常、限流、降级或系统能力 Mock/测试钩子。,,,建议保留为半自动/手动专项；若要自动化，需增加网络异常、限流、降级或系统能力 Mock/测试钩子。,OCR 返回 extractedPersonalInfo.gender=男,健康档案中月经状态字段隐藏；其他字段正常,依赖 OCR 结果或 mock
八、病历文档上传 / OCR,❌ 未实现,需专用账号/破坏性专项,CX-OCR-023,病历文档,删除后刷新持久消失,P1,Med,未实现-需专用账号/破坏性专项,是，测试账号,,,可补专项自动化，但必须使用专用账号并隔离破坏性数据。,,,可补专项自动化，但必须使用专用账号并隔离破坏性数据。,删除某文档并确认 → 刷新或重新进入健康档案,该文档仍不存在，列表数量减少,会破坏测试数据
八、病历文档上传 / OCR,❌ 未实现,半自动/建议手动专项,CX-OCR-025,聊天图片保存,保存聊天报告图片授权 gate,P1,Hard,未实现-半自动/建议手动专项,半自动,,,建议保留为半自动/手动专项；若要自动化，需增加网络异常、限流、降级或系统能力 Mock/测试钩子。,,,建议保留为半自动/手动专项；若要自动化，需增加网络异常、限流、降级或系统能力 Mock/测试钩子。,对话中上传报告图片触发保存病历建议 → 未授权点击保存,先弹健康档案授权；同意后创建保存任务或完成保存,依赖 medical_document_save_suggestion
八、病历文档上传 / OCR,❌ 未实现,半自动/建议手动专项,CX-OCR-026,聊天图片保存,保存任务去重,P2,Hard,未实现-半自动/建议手动专项,接口/半自动,,,建议保留为半自动/手动专项；若要自动化，需增加网络异常、限流、降级或系统能力 Mock/测试钩子。,,,建议保留为半自动/手动专项；若要自动化，需增加网络异常、限流、降级或系统能力 Mock/测试钩子。,同一聊天图片保存任务重复点击/重复提交,第二次返回已存在/409 或复用任务，不生成重复病历文档,Redis job 去重路径
九、我的材料 /materials,📂 大类,,九、我的材料 /materials,,,,,,,,,,,,,,,
九、我的材料 /materials,❌ 未实现,半自动/建议手动专项,CX-MAT-014,我的材料,跟练素材不可用,P2,Med,未实现-半自动/建议手动专项,半自动,,,建议保留为半自动/手动专项；若要自动化，需增加网络异常、限流、降级或系统能力 Mock/测试钩子。,,,建议保留为半自动/手动专项；若要自动化，需增加网络异常、限流、降级或系统能力 Mock/测试钩子。,预置 detail 缺失或素材下线的跟练卡,详情显示“该跟练方案暂时不可用”，不崩溃,需造数据
九、我的材料 /materials,❌ 未实现,半自动/建议手动专项,CX-MAT-015,我的材料,沟通卡保存失败,P2,Med,未实现-半自动/建议手动专项,半自动,,,建议保留为半自动/手动专项；若要自动化，需增加网络异常、限流、降级或系统能力 Mock/测试钩子。,,,建议保留为半自动/手动专项；若要自动化，需增加网络异常、限流、降级或系统能力 Mock/测试钩子。,详情编辑沟通卡 → 模拟 PUT 失败,页面显示错误，保持编辑态和输入内容,需 mock/断网
十、账号与安全,📂 大类,,十、账号与安全,,,,,,,,,,,,,,,
十、账号与安全,❌ 未实现,需专用账号/破坏性专项,CX-SEC-005,清空档案,确认清空,P2,Med,未实现-需专用账号/破坏性专项,是，测试账号,,,可补专项自动化，但必须使用专用账号并隔离破坏性数据。,,,可补专项自动化，但必须使用专用账号并隔离破坏性数据。,专用账号点击确认清空,健康档案/病历文档被清空,破坏性操作
十、账号与安全,❌ 未实现,半自动/建议手动专项,CX-SEC-008,注销账号,确认注销,P2,Hard,未实现-半自动/建议手动专项,半自动/专用账号,,,建议保留为半自动/手动专项；若要自动化，需增加网络异常、限流、降级或系统能力 Mock/测试钩子。,,,建议保留为半自动/手动专项；若要自动化，需增加网络异常、限流、降级或系统能力 Mock/测试钩子。,专用账号完成风险阅读倒计时 → 输入“确认注销” → 短信验证 → 确认注销,进入注销冷静期，完成页提示15天后永久删除,强破坏性操作；当前实现阅读倒计时为10s
十、账号与安全,❌ 未实现,需测试钩子,CX-SEC-012,清空档案,验证码超时,P1,Med,未实现-需测试钩子,是/需测试钩子,,,需后端/测试环境提供 Redis 清理、验证码过期、版本变更等测试钩子后再补。,,,需后端/测试环境提供 Redis 清理、验证码过期、版本变更等测试钩子后再补。,发送清空验证码 → 等待5分钟或删除 Redis code → 输入原验证码,提示验证码错误或已过期；档案仍保留,覆盖用户提到的验证码超时
十、账号与安全,❌ 未实现,建议接口自动化,CX-SEC-013,清空档案,验证码一次性,P1,Med,未实现-建议接口自动化,接口自动化,,,优先补 API/契约层自动化；UI 只保留入口或错误提示抽样。,,,优先补 API/契约层自动化；UI 只保留入口或错误提示抽样。,验证码清空成功后再次复用同验证码调用清空/注销接口,第二次验证码校验失败,verifyCode 成功后 del key
十、账号与安全,❌ 未实现,需专用账号/破坏性专项,CX-SEC-014,清空档案,清空成功确认页,P1,Med,未实现-需专用账号/破坏性专项,是，专用账号,,,可补专项自动化，但必须使用专用账号并隔离破坏性数据。,,,可补专项自动化，但必须使用专用账号并隔离破坏性数据。,正确验证码确认清空 → 成功页点击“知道了”,弹窗关闭并返回 /profile?mode=edit；再次进入健康档案为空态,
十、账号与安全,❌ 未实现,需专用账号/破坏性专项,CX-SEC-018,注销账号,注销验证码错误/超时,P2,Med,未实现-需专用账号/破坏性专项,是/专用账号,,,可补专项自动化，但必须使用专用账号并隔离破坏性数据。,,,可补专项自动化，但必须使用专用账号并隔离破坏性数据。,输入错误或过期验证码确认注销,提示错误，不进入冷静期，账号仍 active,
十、账号与安全,❌ 未实现,需专用账号/破坏性专项,CX-SEC-019,注销冷静期,业务页面拦截,P1,Med,未实现-需专用账号/破坏性专项,是/专用账号,,,可补专项自动化，但必须使用专用账号并隔离破坏性数据。,,,可补专项自动化，但必须使用专用账号并隔离破坏性数据。,账号进入 pending_deletion 后访问 /chat、/medical-records、/materials,业务接口返回403并自动跳 /deletion-pending,requireActiveAccount + api.ts
十、账号与安全,❌ 未实现,需专用账号/破坏性专项,CX-SEC-020,注销冷静期,撤销注销恢复,P1,Med,未实现-需专用账号/破坏性专项,是/专用账号,,,可补专项自动化，但必须使用专用账号并隔离破坏性数据。,,,可补专项自动化，但必须使用专用账号并隔离破坏性数据。,冷静期页面点击“撤销注销”,恢复 active 并跳 /chat；后续业务接口可正常访问,
十、账号与安全,❌ 未实现,需专用账号/破坏性专项,CX-SEC-021,注销冷静期,冷静期退出再登录,P1,Med,未实现-需专用账号/破坏性专项,是/专用账号,,,可补专项自动化，但必须使用专用账号并隔离破坏性数据。,,,可补专项自动化，但必须使用专用账号并隔离破坏性数据。,pending_deletion 页面点击退出登录 → 用原手机号重新登录,再次进入 /deletion-pending，可选择撤销,登录后检查 /account/status
十、账号与安全,❌ 未实现,需专用账号/破坏性专项,CX-SEC-022,注销账号,完成页退出登录,P2,Med,未实现-需专用账号/破坏性专项,是/专用账号,,,可补专项自动化，但必须使用专用账号并隔离破坏性数据。,,,可补专项自动化，但必须使用专用账号并隔离破坏性数据。,注销确认成功进入 done 页 → 点击“我知道了”,清本地登录态并返回 /login,强破坏性流程
十一、WebView 容器兼容性,📂 大类,,十一、WebView 容器兼容性,,,,,,,,,,,,,,,
十一、WebView 容器兼容性,❌ 未实现,半自动/建议手动专项,CX-WV-COMPAT-007,WebView兼容,无 visualViewport 兜底,P2,Med,未实现-半自动/建议手动专项,半自动,,,建议保留为半自动/手动专项；若要自动化，需增加网络异常、限流、降级或系统能力 Mock/测试钩子。,,,建议保留为半自动/手动专项；若要自动化，需增加网络异常、限流、降级或系统能力 Mock/测试钩子。,在不支持 visualViewport 的旧 WebView 打开聊天并唤起键盘,页面不崩溃；输入框至少可通过滚动/布局访问,hook 检测不到 vv 时直接返回
十一、WebView 容器兼容性,❌ 未实现,半自动/建议手动专项,CX-WV-COMPAT-008,WebView兼容,无 ResizeObserver 兜底,P2,Med,未实现-半自动/建议手动专项,半自动,,,建议保留为半自动/手动专项；若要自动化，需增加网络异常、限流、降级或系统能力 Mock/测试钩子。,,,建议保留为半自动/手动专项；若要自动化，需增加网络异常、限流、降级或系统能力 Mock/测试钩子。,模拟 ResizeObserver 不存在后打开聊天输入多行/图片预览,输入区高度变量仍通过 resize/timer 同步，不影响滚动到底按钮位置,InputBar fallback
十一、WebView 容器兼容性,❌ 未实现,半自动/建议手动专项,CX-WV-COMPAT-009,WebView网络,弱网/断网恢复,P1,Hard,未实现-半自动/建议手动专项,半自动,,,建议保留为半自动/手动专项；若要自动化，需增加网络异常、限流、降级或系统能力 Mock/测试钩子。,,,建议保留为半自动/手动专项；若要自动化，需增加网络异常、限流、降级或系统能力 Mock/测试钩子。,聊天流式或 OCR 识别中断网再恢复,不白屏；展示错误/重试；恢复网络后可继续操作,Android 网络切换
