大类,实现大类,执行/处理类型,测试用例ID,功能模块,子功能,优先级,难度,实现状态,原始自动化建议,推荐运行命令,脚本文件,查看建议,实现标题,Tags,后续建议,测试步骤/描述,预期结果,前置条件/备注
一、基础登录与 WebView 容器,✅ 已实现,常规自动化,CX-WV-BASE-010,登出,正常退出登录,P0,Easy,已实现-常规自动化,是,pnpm run test:android:auth-state,src/specs/03-auth-state.spec.ts,运行 pnpm run test:android:auth-state；代码见 src/specs/03-auth-state.spec.ts,正常退出登录后返回登录页并清除 token,"smoke,auth-state,p0",已接入常规 WDIO/Appium 自动化，可通过对应 suite 运行。,登录后打开侧边栏 → 点击退出登录,返回登录页，本地 token 清除,
一、基础登录与 WebView 容器,✅ 已实现,常规自动化,CX-WV-BASE-011,登出,登出后返回,P0,Med,已实现-常规自动化,是,pnpm run test:android:auth-state,src/specs/03-auth-state.spec.ts,运行 pnpm run test:android:auth-state；代码见 src/specs/03-auth-state.spec.ts,登出后系统返回不应回到已登录页面,"smoke,auth-state,p0",已接入常规 WDIO/Appium 自动化，可通过对应 suite 运行。,登出后执行系统返回,不应回到已登录页面,
一、基础登录与 WebView 容器,✅ 已实现,常规自动化,CX-WV-BASE-012,WebView,页面刷新/重进,P1,Med,已实现-常规自动化,是,pnpm run test:android:webview,src/specs/05-webview-container-fast.spec.ts,运行 pnpm run test:android:webview；代码见 src/specs/05-webview-container-fast.spec.ts,关闭重启 App 后未清数据时保持登录态,"webview,auth-state,p1",已接入常规 WDIO/Appium 自动化，可通过对应 suite 运行。,登录后关闭重启 App,未清数据情况下仍保持登录态,不要清 App 数据
一、基础登录与 WebView 容器,❌ 未实现,需测试钩子,CX-WV-BASE-013,登录,验证码超时（5分钟TTL）,P1,Med,未实现-需测试钩子,是/需测试钩子,,,需后端/测试环境提供 Redis 清理、验证码过期、版本变更等测试钩子后再补。,,,需后端/测试环境提供 Redis 清理、验证码过期、版本变更等测试钩子后再补。,获取验证码 → 等待5分钟或通过测试钩子删除 Redis `sms:code:<phone>` → 输入原验证码登录,提示“验证码错误或已过期”，仍停留登录页且无 token 写入,后端 CODE_TTL=300s；fast 不建议真实等待
一、基础登录与 WebView 容器,✅ 已实现,常规自动化,CX-WV-BASE-014,登录,验证码一次性使用,P1,Med,已实现-常规自动化,是,pnpm run test:android:login,src/specs/02-login-basic.spec.ts,运行 pnpm run test:android:login；代码见 src/specs/02-login-basic.spec.ts,验证码一次性使用,"login,p1",已接入常规 WDIO/Appium 自动化，可通过对应 suite 运行。,获取验证码并登录成功 → 退出登录 → 复用同一验证码再次登录,第二次提示验证码错误或已过期；不能再次进入登录态,`verifyCode` 成功后会删除短信 key
一、基础登录与 WebView 容器,❌ 未实现,需接口辅助,CX-WV-BASE-015,登录,验证码发送限流与倒计时,P1,Med,未实现-需接口辅助,是/接口辅助,,,需增加接口辅助或测试环境开关，再补 UI 自动化验证。,,,需增加接口辅助或测试环境开关，再补 UI 自动化验证。,验证码发送成功后立刻再次触发发送（前端或接口层）,前端按钮显示60s倒计时且不可点；绕过前端时后端1秒1次限流生效,避免污染真实短信频控
一、基础登录与 WebView 容器,❌ 未实现,需预置数据,CX-WV-BASE-016,登录态,冷静期账号登录跳转,P1,Med,未实现-需预置数据,是/预置账号,,,需预置 Redis/账号状态/服务端开关，再接入自动化。,,,需预置 Redis/账号状态/服务端开关，再接入自动化。,使用已进入 pending_deletion 的账号登录,登录后自动进入 /deletion-pending，不能直接进入 /chat,登录成功后前端会请求 /account/status
一、基础登录与 WebView 容器,✅ 已实现,常规自动化,CX-WV-BASE-017,登录态,token失效自动退出,P0,Med,已实现-常规自动化,是,pnpm run test:android:auth-state,src/specs/03-auth-state.spec.ts,运行 pnpm run test:android:auth-state；代码见 src/specs/03-auth-state.spec.ts,错误 token 触发 401 后自动退出登录,"smoke,auth-state,p0",已接入常规 WDIO/Appium 自动化，可通过对应 suite 运行。,手动写入过期/错误 `cx-token` → 打开 /chat 并触发任一需登录接口,收到401后清除 token/consents/needsProfile，本地状态清零并跳回 /login,覆盖 WebView 持久化 token 异常
一、基础登录与 WebView 容器,✅ 已实现,常规自动化,CX-WV-BASE-018,登录态,切账号缓存隔离,P0,Med,已实现-常规自动化,是,pnpm run test:android:auth-state,src/specs/03-auth-state.spec.ts,运行 pnpm run test:android:auth-state；代码见 src/specs/03-auth-state.spec.ts,切账号后会话与健康档案缓存隔离,"smoke,auth-state,account-isolation,p0",已接入常规 WDIO/Appium 自动化，可通过对应 suite 运行。,A账号产生会话/健康档案 → 登出 → B账号登录并打开侧边栏/健康档案,不出现 A 账号会话、消息、档案或授权缓存,auth slice 会重置 chat/medical store；GET 带 no-cache
一、基础登录与 WebView 容器,✅ 已实现,常规自动化,CX-WV-BASE-019,登录,验证码输入过滤,P1,Easy,已实现-常规自动化,是,pnpm run test:android:login,src/specs/02-login-basic.spec.ts,运行 pnpm run test:android:login；代码见 src/specs/02-login-basic.spec.ts,验证码输入过滤，仅保留最多 6 位数字,"login,p1",已接入常规 WDIO/Appium 自动化，可通过对应 suite 运行。,在验证码输入框粘贴字母、中文、符号和超过6位数字,仅保留数字且最多6位；不因非法字符导致崩溃,"前端 `replace(/\D/g, """")`"
一、基础登录与 WebView 容器,✅ 已实现,常规自动化,CX-WV-BASE-020,WebView,深链未登录重定向,P0,Easy,已实现-常规自动化,是,pnpm run test:android:auth-state,src/specs/04-deeplink.spec.ts,运行 pnpm run test:android:auth-state；代码见 src/specs/04-deeplink.spec.ts,未登录访问业务深链统一重定向登录页,"smoke,deeplink,p0",已接入常规 WDIO/Appium 自动化，可通过对应 suite 运行。,清登录态后直接打开 /chat/:sessionId、/medical-records、/materials 等登录页外路由,统一重定向 /login；不会白屏或停留空壳页面,AuthGuard + BrowserRouter/Nginx fallback
二、首次个人信息完善 /profile,📂 大类,,二、首次个人信息完善 /profile,,,,,,,,,,,,,,,
二、首次个人信息完善 /profile,✅ 已实现,常规自动化,CX-PROFILE-001,个人信息,首次登录跳转,P0,Easy,已实现-常规自动化,是,pnpm run test:android:profile-fast,src/specs/08-profile-account-fast.spec.ts,运行 pnpm run test:android:profile-fast；代码见 src/specs/08-profile-account-fast.spec.ts,首次登录跳转个人信息,"profile,p0",已接入常规 WDIO/Appium 自动化，可通过对应 suite 运行。,使用未完善资料账号登录,自动进入 /profile 页面,账号需 needsProfile=true
二、首次个人信息完善 /profile,✅ 已实现,常规自动化,CX-PROFILE-002,个人信息,页面元素展示,P0,Easy,已实现-常规自动化,是,pnpm run test:android:profile-fast,src/specs/08-profile-account-fast.spec.ts,运行 pnpm run test:android:profile-fast；代码见 src/specs/08-profile-account-fast.spec.ts,个人信息页面元素展示,"profile,p0",已接入常规 WDIO/Appium 自动化，可通过对应 suite 运行。,进入 /profile,展示昵称、出生日期、当前关注情况、性别、保存按钮,
二、首次个人信息完善 /profile,✅ 已实现,常规自动化,CX-PROFILE-003,个人信息,必填为空校验,P0,Easy,已实现-常规自动化,是,pnpm run test:android:profile-fast,src/specs/08-profile-account-fast.spec.ts,运行 pnpm run test:android:profile-fast；代码见 src/specs/08-profile-account-fast.spec.ts,必填为空校验,"profile,p0",已接入常规 WDIO/Appium 自动化，可通过对应 suite 运行。,不填写任何字段 → 点击保存并进入对话,提示请完整填写昵称、出生日期、当前关注情况、性别,首次资料账号
二、首次个人信息完善 /profile,✅ 已实现,常规自动化,CX-PROFILE-004,个人信息,昵称填写,P0,Easy,已实现-常规自动化,是,pnpm run test:android:profile-fast,src/specs/08-profile-account-fast.spec.ts,运行 pnpm run test:android:profile-fast；代码见 src/specs/08-profile-account-fast.spec.ts,昵称输入可编辑,"profile,p0",已接入常规 WDIO/Appium 自动化，可通过对应 suite 运行。,输入昵称,输入框正常显示输入内容,
二、首次个人信息完善 /profile,✅ 已实现,常规自动化,CX-PROFILE-005,个人信息,出生日期选择,P0,Med,已实现-常规自动化,是,pnpm run test:android:profile-fast,src/specs/08-profile-account-fast.spec.ts,运行 pnpm run test:android:profile-fast；代码见 src/specs/08-profile-account-fast.spec.ts,出生日期选择器可打开并确认,"profile,p0",已接入常规 WDIO/Appium 自动化，可通过对应 suite 运行。,点击出生日期 → 弹出日期选择器 → 点击确定,日期选择器正常打开并回填日期,DateWheelPicker
二、首次个人信息完善 /profile,✅ 已实现,常规自动化,CX-PROFILE-006,个人信息,当前关注情况选择,P0,Easy,已实现-常规自动化,是,pnpm run test:android:profile-fast,src/specs/08-profile-account-fast.spec.ts,运行 pnpm run test:android:profile-fast；代码见 src/specs/08-profile-account-fast.spec.ts,当前关注情况可选择,"profile,p0",已接入常规 WDIO/Appium 自动化，可通过对应 suite 运行。,打开当前关注情况 → 选择一个选项,选项被选中并显示在页面上,
二、首次个人信息完善 /profile,✅ 已实现,常规自动化,CX-PROFILE-007,个人信息,性别选择,P0,Easy,已实现-常规自动化,是,pnpm run test:android:profile-fast,src/specs/08-profile-account-fast.spec.ts,运行 pnpm run test:android:profile-fast；代码见 src/specs/08-profile-account-fast.spec.ts,性别可选择,"profile,p0",已接入常规 WDIO/Appium 自动化，可通过对应 suite 运行。,点击女性或男性按钮,按钮选中态正确,
二、首次个人信息完善 /profile,✅ 已实现,常规自动化,CX-PROFILE-008,个人信息,完整保存,P0,Easy,已实现-常规自动化,是,pnpm run test:android:profile-fast,src/specs/08-profile-account-fast.spec.ts,运行 pnpm run test:android:profile-fast；代码见 src/specs/08-profile-account-fast.spec.ts,完整保存,"profile,p0",已接入常规 WDIO/Appium 自动化，可通过对应 suite 运行。,填写全部必填项 → 点击保存并进入对话,保存成功，跳转 /chat,
二、首次个人信息完善 /profile,✅ 已实现,常规自动化,CX-PROFILE-009,个人信息,非首次可跳过,P1,Easy,已实现-常规自动化,是,pnpm run test:android:profile-fast,src/specs/08-profile-account-fast.spec.ts,运行 pnpm run test:android:profile-fast；代码见 src/specs/08-profile-account-fast.spec.ts,非首次资料页展示跳过入口,"profile,p1",已接入常规 WDIO/Appium 自动化，可通过对应 suite 运行。,使用非强制完善状态进入 /profile,显示“跳过，直接进入对话”,非 needsProfile 账号
二、首次个人信息完善 /profile,✅ 已实现,常规自动化,CX-PROFILE-010,个人信息,跳过进入对话,P1,Easy,已实现-常规自动化,是,pnpm run test:android:profile-fast,src/specs/08-profile-account-fast.spec.ts,运行 pnpm run test:android:profile-fast；代码见 src/specs/08-profile-account-fast.spec.ts,跳过进入对话,"profile,p1",已接入常规 WDIO/Appium 自动化，可通过对应 suite 运行。,点击跳过,正常进入 /chat,
二、首次个人信息完善 /profile,✅ 已实现,常规自动化,CX-PROFILE-011,个人信息,编辑模式返回,P1,Easy,已实现-常规自动化,是,pnpm run test:android:profile-fast,src/specs/08-profile-account-fast.spec.ts,运行 pnpm run test:android:profile-fast；代码见 src/specs/08-profile-account-fast.spec.ts,编辑模式返回 Chat,"profile,p1",已接入常规 WDIO/Appium 自动化，可通过对应 suite 运行。,从侧边栏进入个人信息编辑页 → 点击返回/取消,返回对话页或侧边栏状态正确,/profile?mode=edit
二、首次个人信息完善 /profile,✅ 已实现,常规自动化,CX-PROFILE-012,个人信息,编辑保存,P1,Easy,已实现-常规自动化,是,pnpm run test:android:profile-fast,src/specs/08-profile-account-fast.spec.ts,运行 pnpm run test:android:profile-fast；代码见 src/specs/08-profile-account-fast.spec.ts,编辑保存,"profile,p1",已接入常规 WDIO/Appium 自动化，可通过对应 suite 运行。,修改昵称或关注情况 → 保存,保存成功，回到对话页,
二、首次个人信息完善 /profile,✅ 已实现,常规自动化,CX-PROFILE-013,个人信息,首次强制资料不可跳过,P0,Easy,已实现-常规自动化,是,pnpm run test:android:profile-fast,src/specs/08-profile-account-fast.spec.ts,运行 pnpm run test:android:profile-fast；代码见 src/specs/08-profile-account-fast.spec.ts,首次强制资料不可跳过,"profile,p0",已接入常规 WDIO/Appium 自动化，可通过对应 suite 运行。,新账号首次登录进入 /profile,页面不展示“跳过，直接进入对话”；必须完整填写后才能进入 /chat,`requireCompleteProfile && !isEditMode`
二、首次个人信息完善 /profile,✅ 已实现,常规自动化,CX-PROFILE-014,个人信息,首次部分保存拦截,P0,Easy,已实现-常规自动化,是,pnpm run test:android:profile-fast,src/specs/08-profile-account-fast.spec.ts,运行 pnpm run test:android:profile-fast；代码见 src/specs/08-profile-account-fast.spec.ts,首次部分保存拦截,"profile,p0",已接入常规 WDIO/Appium 自动化，可通过对应 suite 运行。,首次资料账号仅填写当前关注情况或仅填写昵称后点击保存,提示缺失字段；不应进入 /chat,前端和后端均需校验完整资料
二、首次个人信息完善 /profile,✅ 已实现,常规自动化,CX-PROFILE-015,个人信息,带 returnSessionId 返回,P1,Med,已实现-常规自动化,是,pnpm run test:android:profile-fast,src/specs/08-profile-account-fast.spec.ts,运行 pnpm run test:android:profile-fast；代码见 src/specs/08-profile-account-fast.spec.ts,带 returnSessionId 返回原会话并打开侧栏,"profile,p1",已接入常规 WDIO/Appium 自动化，可通过对应 suite 运行。,从某会话侧边栏进入个人信息 → 修改保存/取消,返回原 `/chat/:sessionId`，并按 `returnToSettings=1` 重新打开侧边栏,覆盖外部资料页变更事件路径
二、首次个人信息完善 /profile,✅ 已实现,常规自动化,CX-PROFILE-016,个人信息,关注情况改变联动健康档案字段,P1,Med,已实现-常规自动化,是,pnpm run test:android:profile-fast,src/specs/08-profile-account-fast.spec.ts,运行 pnpm run test:android:profile-fast；代码见 src/specs/08-profile-account-fast.spec.ts,关注情况改变联动健康档案字段,"profile,medical,p1",已接入常规 WDIO/Appium 自动化，可通过对应 suite 运行。,编辑 currentConcern 从“乳腺肿瘤相关诊疗”切到“结节随访” → 进入健康档案,肿瘤分型/确诊时长/治疗阶段等扩展字段隐藏；基础字段仍显示,`resolveVisibleMedicalFields`
二、首次个人信息完善 /profile,❌ 未实现,半自动/建议手动专项,CX-PROFILE-017,个人信息,保存接口失败提示,P2,Med,未实现-半自动/建议手动专项,半自动,,,建议保留为半自动/手动专项；若要自动化，需增加网络异常、限流、降级或系统能力 Mock/测试钩子。,,,建议保留为半自动/手动专项；若要自动化，需增加网络异常、限流、降级或系统能力 Mock/测试钩子。,模拟 `/medical/profile` 返回 400/500 后点击保存,页面展示后端错误或“保存失败”，按钮恢复可点，不丢失输入内容,需 mock/断网
三、对话页基础功能 /chat,📂 大类,,三、对话页基础功能 /chat,,,,,,,,,,,,,,,
三、对话页基础功能 /chat,✅ 已实现,常规自动化,CX-CHAT-001,对话,对话页加载,P0,Easy,已实现-常规自动化,是,pnpm run test:android:chat-fast,src/specs/07-chat-input-fast.spec.ts,运行 pnpm run test:android:chat-fast；代码见 src/specs/07-chat-input-fast.spec.ts,对话页加载,"chat,p0",已接入常规 WDIO/Appium 自动化，可通过对应 suite 运行。,登录后进入 /chat,展示橙欣健康标题、欢迎语、输入框,
三、对话页基础功能 /chat,✅ 已实现,常规自动化,CX-CHAT-002,对话,欢迎建议问题展示,P0,Easy,已实现-常规自动化,是,pnpm run test:android:chat-fast,src/specs/07-chat-input-fast.spec.ts,运行 pnpm run test:android:chat-fast；代码见 src/specs/07-chat-input-fast.spec.ts,欢迎建议问题展示,"chat,p0",已接入常规 WDIO/Appium 自动化，可通过对应 suite 运行。,新对话页观察建议问题,展示建议问题按钮，如“化疗后恶心该怎么办”,
三、对话页基础功能 /chat,✅ 已实现,常规自动化,CX-CHAT-003,对话,点击建议问题发送,P0,Med,已实现-常规自动化,是,pnpm run test:android:chat-fast,src/specs/07-chat-input-fast.spec.ts,运行 pnpm run test:android:chat-fast；代码见 src/specs/07-chat-input-fast.spec.ts,点击建议问题发送,"chat,p0",已接入常规 WDIO/Appium 自动化，可通过对应 suite 运行。,点击一个建议问题,用户消息出现在对话中，开始生成回复,依赖对话接口
三、对话页基础功能 /chat,✅ 已实现,常规自动化,CX-CHAT-004,对话,文字输入发送,P0,Med,已实现-常规自动化,是,pnpm run test:android:chat-fast,src/specs/07-chat-input-fast.spec.ts,运行 pnpm run test:android:chat-fast；代码见 src/specs/07-chat-input-fast.spec.ts,文字输入发送,"chat,p0",已接入常规 WDIO/Appium 自动化，可通过对应 suite 运行。,输入短问题 → 点击发送,用户消息出现，AI 回复区域开始输出,不判断答案质量
三、对话页基础功能 /chat,✅ 已实现,常规自动化,CX-CHAT-005,对话,Enter 发送,P1,Easy,已实现-常规自动化,是,pnpm run test:android:chat-fast,src/specs/07-chat-input-fast.spec.ts,运行 pnpm run test:android:chat-fast；代码见 src/specs/07-chat-input-fast.spec.ts,Enter 发送,"chat,input,p1",已接入常规 WDIO/Appium 自动化，可通过对应 suite 运行。,输入文字 → 按 Enter,消息被发送,
三、对话页基础功能 /chat,✅ 已实现,常规自动化,CX-CHAT-006,对话,Shift+Enter 换行,P1,Easy,已实现-常规自动化,是,pnpm run test:android:chat-fast,src/specs/07-chat-input-fast.spec.ts,运行 pnpm run test:android:chat-fast；代码见 src/specs/07-chat-input-fast.spec.ts,Shift+Enter 换行不直接发送,"chat,input,p1",已接入常规 WDIO/Appium 自动化，可通过对应 suite 运行。,输入文字 → Shift+Enter,输入框换行，不发送,
三、对话页基础功能 /chat,✅ 已实现,常规自动化,CX-CHAT-007,对话,空消息不可发送,P0,Easy,已实现-常规自动化,是,pnpm run test:android:chat-fast,src/specs/07-chat-input-fast.spec.ts,运行 pnpm run test:android:chat-fast；代码见 src/specs/07-chat-input-fast.spec.ts,空消息不可发送,"chat,input,p0",已接入常规 WDIO/Appium 自动化，可通过对应 suite 运行。,输入框为空时观察按钮,不展示发送按钮或点击无效,
三、对话页基础功能 /chat,✅ 已实现,常规自动化,CX-CHAT-008,对话,停止生成,P0,Med,已实现-常规自动化,是,pnpm run test:android:chat-fast,src/specs/07-chat-input-fast.spec.ts,运行 pnpm run test:android:chat-fast；代码见 src/specs/07-chat-input-fast.spec.ts,停止生成,"chat,p0",已接入常规 WDIO/Appium 自动化，可通过对应 suite 运行。,发送问题 → 流式生成中点击停止,生成停止，页面显示已中断或停止态,需在流式过程中点击
三、对话页基础功能 /chat,✅ 已实现,常规自动化,CX-CHAT-009,对话,停止后重试,P1,Med,已实现-常规自动化,是,pnpm run test:android:chat-fast,src/specs/07-chat-input-fast.spec.ts,运行 pnpm run test:android:chat-fast；代码见 src/specs/07-chat-input-fast.spec.ts,停止后重试,"chat,p1",已接入常规 WDIO/Appium 自动化，可通过对应 suite 运行。,停止生成后点击重试,重新发起回答,
三、对话页基础功能 /chat,✅ 已实现,常规自动化,CX-CHAT-010,对话,新对话,P0,Easy,已实现-常规自动化,是,pnpm run test:android:chat-fast,src/specs/07-chat-input-fast.spec.ts,运行 pnpm run test:android:chat-fast；代码见 src/specs/07-chat-input-fast.spec.ts,新对话回到欢迎态,"chat,p0",已接入常规 WDIO/Appium 自动化，可通过对应 suite 运行。,点击右上角新对话按钮,清空当前消息，回到新对话欢迎态,
三、对话页基础功能 /chat,✅ 已实现,常规自动化,CX-CHAT-011,对话,消息复制,P1,Easy,已实现-常规自动化,是,pnpm run test:android:chat-fast,src/specs/07-chat-input-fast.spec.ts,运行 pnpm run test:android:chat-fast；代码见 src/specs/07-chat-input-fast.spec.ts,消息复制,"chat,p1",已接入常规 WDIO/Appium 自动化，可通过对应 suite 运行。,回答生成后点击复制按钮,显示已复制或复制成功状态,
三、对话页基础功能 /chat,✅ 已实现,常规自动化,CX-CHAT-012,对话,点赞,P1,Easy,已实现-常规自动化,是,pnpm run test:android:chat-fast,src/specs/07-chat-input-fast.spec.ts,运行 pnpm run test:android:chat-fast；代码见 src/specs/07-chat-input-fast.spec.ts,点赞,"chat,p1",已接入常规 WDIO/Appium 自动化，可通过对应 suite 运行。,回答生成后点击有帮助,点赞按钮进入选中态,
三、对话页基础功能 /chat,✅ 已实现,常规自动化,CX-CHAT-013,对话,点踩,P1,Easy,已实现-常规自动化,是,pnpm run test:android:chat-fast,src/specs/07-chat-input-fast.spec.ts,运行 pnpm run test:android:chat-fast；代码见 src/specs/07-chat-input-fast.spec.ts,点踩,"chat,p1",已接入常规 WDIO/Appium 自动化，可通过对应 suite 运行。,回答生成后点击没帮助,点踩按钮进入选中态,
三、对话页基础功能 /chat,✅ 已实现,常规自动化,CX-CHAT-014,对话,分享至此,P1,Med,已实现-常规自动化,是,pnpm run test:android:chat-fast,src/specs/07-chat-input-fast.spec.ts,运行 pnpm run test:android:chat-fast；代码见 src/specs/07-chat-input-fast.spec.ts,分享至此,"chat,p1",已接入常规 WDIO/Appium 自动化，可通过对应 suite 运行。,回答生成后点击分享按钮,复制分享链接或显示链接已复制,需要 sessionId
三、对话页基础功能 /chat,✅ 已实现,常规自动化,CX-CHAT-015,对话,内容免责声明,P1,Easy,已实现-常规自动化,是,pnpm run test:android:chat-fast,src/specs/07-chat-input-fast.spec.ts,运行 pnpm run test:android:chat-fast；代码见 src/specs/07-chat-input-fast.spec.ts,内容免责声明,"chat,p1",已接入常规 WDIO/Appium 自动化，可通过对应 suite 运行。,查看 AI 回答底部,显示“内容由AI生成仅供参考...”,
三、对话页基础功能 /chat,✅ 已实现,常规自动化,CX-CHAT-016,对话,长文本限制,P1,Easy,已实现-常规自动化,是,pnpm run test:android:chat-fast,src/specs/07-chat-input-fast.spec.ts,运行 pnpm run test:android:chat-fast；代码见 src/specs/07-chat-input-fast.spec.ts,长文本限制提示与发送禁用,"chat,input,p1",已接入常规 WDIO/Appium 自动化，可通过对应 suite 运行。,输入超过最大长度文本,显示字数警告，发送按钮不可用,
三、对话页基础功能 /chat,✅ 已实现,常规自动化,CX-CHAT-017,对话,历史会话恢复,P1,Med,已实现-常规自动化,是,pnpm run test:android:chat-fast,src/specs/07-chat-input-fast.spec.ts,运行 pnpm run test:android:chat-fast；代码见 src/specs/07-chat-input-fast.spec.ts,历史会话恢复,"chat,history,p1",已接入常规 WDIO/Appium 自动化，可通过对应 suite 运行。,发送一轮对话 → 进入历史 → 打开该会话,历史消息正常加载,
三、对话页基础功能 /chat,✅ 已实现,常规自动化,CX-CHAT-018,对话,删除历史会话,P1,Med,已实现-常规自动化,是,pnpm run test:android:chat-fast,src/specs/07-chat-input-fast.spec.ts,运行 pnpm run test:android:chat-fast；代码见 src/specs/07-chat-input-fast.spec.ts,删除历史会话,"chat,history,p1",已接入常规 WDIO/Appium 自动化，可通过对应 suite 运行。,侧边栏删除某会话,会话从列表移除,会破坏测试数据
三、对话页基础功能 /chat,✅ 已实现,常规自动化,CX-CHAT-019,对话,对话不存在,P2,Med,已实现-常规自动化,是,pnpm run test:android:chat-fast,src/specs/07-chat-input-fast.spec.ts,运行 pnpm run test:android:chat-fast；代码见 src/specs/07-chat-input-fast.spec.ts,对话不存在,"chat,p2",已接入常规 WDIO/Appium 自动化，可通过对应 suite 运行。,打开不存在的 /chat/:sessionId,显示“对话不存在或无权访问”,
三、对话页基础功能 /chat,✅ 已实现,常规自动化,CX-CHAT-020,对话,新对话切换不串流,P1,Med,已实现-常规自动化,是,pnpm run test:android:chat-fast,src/specs/07-chat-input-fast.spec.ts,运行 pnpm run test:android:chat-fast；代码见 src/specs/07-chat-input-fast.spec.ts,新对话切换不串流,"chat,p1",已接入常规 WDIO/Appium 自动化，可通过对应 suite 运行。,会话A流式生成中点击新对话 → 在新对话发送消息B,A/B 消息和流式状态不串；回到A可看到A最终/中断结果,多会话 stream bucket/rekey 逻辑
